               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074464,            0.078765,            0.044812,             0.17378,             0.35625,             0.20415,             0.09429,            0.043903,            0.089343,            0.039063,            0.070016,           0.0033315,           0.0033315
                   1,            0.054711,            0.070199,             0.03018,             0.59648,             0.39345,             0.40143,             0.19806,            0.041599,            0.087144,            0.020433,            0.039356,            0.006005,            0.006005
                   2,            0.051157,            0.066576,            0.016089,             0.79325,              0.4878,             0.53091,             0.27499,            0.036425,            0.081712,            0.012027,           0.0080366,           0.0080186,           0.0080186
                   3,            0.043833,            0.064233,            0.010815,             0.86504,             0.51446,             0.59237,             0.34432,            0.032067,             0.07754,           0.0090012,             0.00703,             0.00703,             0.00703
                   4,            0.039843,            0.061492,           0.0087515,             0.88071,              0.5542,             0.62461,              0.3755,            0.029343,            0.075062,             0.00751,             0.00703,             0.00703,             0.00703
                   5,            0.036037,            0.059246,           0.0074423,             0.89192,             0.57685,             0.64559,             0.39638,            0.028098,            0.073784,           0.0067165,             0.00604,             0.00604,             0.00604
                   6,            0.033169,            0.057439,           0.0067696,             0.92297,                0.58,             0.66255,              0.4172,            0.026121,            0.071469,           0.0059968,             0.00505,             0.00505,             0.00505
                   7,             0.03096,            0.056189,           0.0061504,             0.91866,              0.5892,             0.66939,             0.42211,            0.025837,            0.070729,           0.0055032,             0.00406,             0.00406,             0.00406
                   8,            0.029172,            0.055036,           0.0058005,             0.92349,             0.59972,             0.68096,             0.43469,            0.025027,            0.069736,           0.0050345,             0.00307,             0.00307,             0.00307
                   9,             0.02746,            0.053711,           0.0053631,             0.92221,             0.60326,             0.68657,             0.44192,            0.024458,             0.06918,           0.0047973,             0.00208,             0.00208,             0.00208
